word	tag	D@A1	F@A1	SFI@A1	U@A1	tf-idf@A1	D@A2	F@A2	SFI@A2	U@A2	tf-idf@A2	D@B1	F@B1	SFI@B1	U@B1	tf-idf@B1	D@B2	F@B2	SFI@B2	U@B2	tf-idf@B2	D@C1	F@C1	SFI@C1	U@C1	tf-idf@C1	D@TOTAL	F@TOTAL	SFI@TOTAL	U@TOTAL	tf-idf@TOTAL
driekamerwoning	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	1	23.967727844563747	0.024932899384329035	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.457178933571807	0.0027907304648525596	0.0
driekleur	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	27.510804721427053	0.05637421041535859	1.6094379124341003	-	-	-	-	-	0.0	1	12.41837125514191	0.0017451675358719863	0.0
driekleurig	ADJ()	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	27.510804721427053	0.05637421041535859	1.6094379124341003	-	-	-	-	-	0.0	1	12.41837125514191	0.0017451675358719863	0.0
driekwart	ADJ()	-	-	-	-	-	0.0	1	19.74408125265286	0.00942775146850798	0.9162907318741551	0.0	1	23.79691586379442	0.02397129995903811	0.9162907318741551	-	-	-	-	-	-	-	-	-	-	0.10147268954891664	2	37.53387236926472	0.5667443991770895	0.0
driekwart	N(soort)	-	-	-	-	-	-	-	-	-	-	0.12110367334688617	2	43.125369561283534	2.053699777845061	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	0.10147268954891664	2	37.54360142975803	0.568015442557627	0.0
driekwart	TW(hoofd)	-	-	-	-	-	-	-	-	-	-	0.0	1	23.657828596979172	0.02321575755345238	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.14727968598723	0.0025985313970252485	0.0
driekwartbroek	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	1	25.987939978407915	0.039700319129868274	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	16.477391067415972	0.004443642448167437	0.0
driemaal	BW()	-	-	-	-	-	0.0	1	18.798020671667942	0.007582319266161737	0.9162907318741551	0.12110367334688617	2	43.10733224876299	2.0451879482331616	1.8325814637483102	-	-	-	-	-	-	-	-	-	-	0.16083040778235247	3	41.281006917894096	1.3430763191848147	0.0
driepersoonskamer	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	1	22.170774011318684	0.016484561576415896	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	12.660225100326743	0.0018451110511421881	0.0
driesprong	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	26.87310686306059	0.04867552969784266	1.6094379124341003	-	-	-	-	-	0.0	1	11.780673396775443	0.0015068406917661205	0.0
drietal	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	1	21.672799327694534	0.014698734072304171	0.9162907318741551	0.0	1	30.816908842118764	0.12069544608750782	0.9162907318741551	-	-	-	-	-	0.10147268954891664	2	37.54000844588373	0.567545709134385	0.0
drieweeks	ADJ()	-	-	-	-	-	-	-	-	-	-	0.0	1	22.079340216919988	0.016141133210240563	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	12.568791305928046	0.001806671237576726	0.0
drieëndertighonderd	TW(hoofd)	-	-	-	-	-	-	-	-	-	-	0.0	1	24.0740909930216	0.025551070443444634	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.563542082029656	0.0028599221292703913	0.0
drieënhalf	ADJ()	-	-	-	-	-	0.0	1	19.06536320414039	0.008063736362425975	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	11.890073257415574	0.0015452805053315826	0.0
driftig	ADJ()	-	-	-	-	-	0.11358304386814942	2	41.669270959974824	1.4686797131087783	1.8325814637483102	0.0	1	30.711302837990516	0.11779592959813857	0.9162907318741551	-	-	-	-	-	-	-	-	-	-	0.16083040778235247	3	41.31711361915058	1.3542890340665237	0.0
drijfnat	ADJ()	-	-	-	-	-	0.0	1	27.670977869755056	0.058492177196104826	0.9162907318741551	0.0	1	28.39464140140171	0.06909778727447662	0.9162907318741551	-	-	-	-	-	-	-	-	-	-	0.10147268954891664	2	37.63226633996756	0.5797311467608427	0.0
drijfnat	N(soort)	-	-	-	-	-	0.0	1	25.561327060376414	0.035985927945751735	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	18.386037113651604	0.006896102553643928	0.0
drijfveer	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	31.695715806781322	0.14776500086845093	1.6094379124341003	-	-	-	-	-	0.0	1	16.603282340496182	0.004574337814290008	0.0
drijven	WW()	-	-	-	-	-	0.31886791726553404	7	51.52356348010021	14.202223668846678	3.5757793663619353	0.23275255219944235	5	49.87475126125719	9.715723039453025	2.5541281188299534	0.40552339297315754	8	57.17042928728781	52.1246232211558	4.086604990127926	-	-	-	-	-	0.4182631299154627	20	53.66261596314161	23.24136313150113	0.0
dringen	WW()	-	-	-	-	-	0.36004973049756583	9	53.165553825714426	20.72790371348716	2.008291961827888	0.24220734669377234	4	49.213087048347006	8.342739918354873	0.8925742052568391	0.0	1	31.44017476205744	0.13932128653311088	0.22314355131420976	0.0	1	52.683368015163225	18.54969620939336	0.22314355131420976	0.3964426965097652	15	52.19007584826082	16.55798881260099	0.0
dringend	ADJ()	-	-	-	-	-	-	-	-	-	-	0.33303510170393696	8	53.47692579407122	22.26858282710642	4.086604990127926	0.0	1	35.03957742616896	0.3191227329679991	0.5108256237659907	0.0	1	52.24194320186855	16.756924780872108	0.5108256237659907	0.31679044036654613	10	49.451927424064465	8.81439974380884	0.0
drinkbeker	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	33.704864234588456	0.23468558961459854	1.6094379124341003	-	-	-	-	-	0.0	1	18.612430768303312	0.007265124763872367	0.0
drinken	N(soort)	-	-	-	-	-	0.0	1	24.870016981471675	0.030690339886845126	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	17.69472703474686	0.005881291475515725	0.0
drinken	WW()	0.5775692698210738	18	68.97812729855849	790.337756570422	4.016583923655776	0.650725603458772	95	65.93667442047959	392.3443853822557	21.198637374849927	0.5696678530223538	72	65.3421193486436	342.14636854447457	16.066335694623103	0.4603690449661633	10	58.655465001762664	73.37472729827087	2.2314355131420975	-	-	-	-	-	0.6663354849682388	195	65.57079992426289	360.64506389095294	0.0
drinkgedrag	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	1	19.337761724283187	0.008585709154383277	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	9.827212813291247	0.0009609953391365563	0.0
drinkwater	N(soort)	-	-	-	-	-	-	-	-	-	-	0.08742814418317897	5	45.68670040532049	3.7039920044708277	8.047189562170502	-	-	-	-	-	-	-	-	-	-	0.07325598544914615	5	40.10643458801769	1.0248102459754491	0.0
droefenis	N(soort)	-	-	-	-	-	0.0	1	19.85357305568418	0.009668460016640098	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	12.678283108959366	0.0018527990138552804	0.0
droevig	ADJ()	-	-	-	-	-	0.36128869272301234	13	54.75744495267591	29.90504741066669	11.911779514364017	0.24220734669377234	4	49.266915359615126	8.446786865986159	3.6651629274966204	-	-	-	-	-	-	-	-	-	-	0.37444604778911134	17	52.48411739270054	17.717879319076037	0.0
drogen	WW()	-	-	-	-	-	0.2936079091169323	6	50.495810137863785	11.209365074053299	3.0649537425959443	0.12110367334688617	2	43.092436667655925	2.038185308268762	1.0216512475319814	0.0	1	34.057784803413554	0.25455315275657514	0.5108256237659907	-	-	-	-	-	0.32166081556470494	9	49.0548938660404	8.044320894015616	0.0
drol	N(soort)	-	-	-	-	-	0.0	1	18.388687099010987	0.0069003117131207345	0.9162907318741551	0.0	1	19.160474054678872	0.008242280788207948	0.9162907318741551	-	-	-	-	-	-	-	-	-	-	0.10147268954891664	2	37.51838789481745	0.564727308594932	0.0
dromen	WW()	-	-	-	-	-	0.4716412406447542	22	58.19274603800429	65.95908217840216	11.238163722851796	0.32268046868579625	14	55.847334809280994	38.43558370726499	7.1515587327238705	0.23372340764642327	3	50.621598857992815	11.53877980573122	1.5324768712979722	-	-	-	-	-	0.47711885964377543	39	57.13786385341897	51.73523013887324	0.0
dromer	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	1	30.711302837990516	0.11779592959813857	0.9162907318741551	0.0	1	31.703008746898192	0.14801334540772565	0.9162907318741551	-	-	-	-	-	0.10147268954891664	2	37.6243415485985	0.5786742465585478	0.0
dromerig	ADJ()	-	-	-	-	-	0.0	1	23.499744619311286	0.022385894976287034	0.5108256237659907	0.12110367334688617	2	43.29351792007752	2.1347734457087553	1.0216512475319814	0.0	1	34.74959082616303	0.29851013620819833	0.5108256237659907	-	-	-	-	-	0.20294537909783328	4	43.5689764570637	2.274561300193727	0.0
dronken	ADJ()	-	-	-	-	-	0.17037456580222413	4	46.41114431149972	4.376374019354378	2.043302495063963	0.2610558088460374	8	52.5351821768815	17.92743752403715	4.086604990127926	0.0	1	34.178952258261106	0.26175514439554165	0.5108256237659907	-	-	-	-	-	0.30715649521012517	13	50.47341703186237	11.15171606264812	0.0
