	WORD	CEFR
933	boyish	b2
934	brace	a2
935	bracelet	a1
936	braid	a2
937	brain	b2
938	brainless	b2
939	brains	b2
940	brainstorm	b1
941	brake	b2
942	branch	c1
943	brand	b2
944	branding	c1
945	brandy	a1
946	brash	b2
947	brave	c1
948	bravely	c1
949	bravery	b1
950	brazilian	b2
951	breach	c1
952	bread	c1
953	break	c1
954	breakdown	c1
955	breakfast	a1
956	breakthrough	c1
957	breast	c1
958	breastfeeding	c1
959	breath	c1
960	breathe	c1
961	breather	c1
962	breathing	c1
963	breathless	c1
964	breathlessly	b2
965	breathtaking	b1
966	breed	b2
967	breeze	b1
968	brew	c1
969	brewery	c1
970	bribe	c1
971	brick	c1
972	brickmaker	b1
973	brickmakers	b1
974	bride	a2
975	bridesmaid	b2
976	bridge	c1
977	brief	c1
978	briefcase	b2
979	briefing	b2
980	briefly	c1
981	bright	b2
982	brighten	b2
983	brightly	b2
984	brightness	c1
985	brill	b2
986	brilliance	c1
987	brilliant	b1
988	brilliantly	c1
989	brim	a1
990	bring	c1
991	briskly	b2
992	british	b1
993	broad	b2
994	broadcast	c1
995	broadcaster	b1
996	broaden	b2
997	broadly	b2
998	brochure	b1
999	broken	a2
1000	broom	b1
1001	broth	b1
1002	brother	a1
1003	brothers	a1
1004	brown	a2
1005	brownfield	b2
1006	browse	c1
1007	bruise	c1
1008	bruised	c1
1009	bruising	b2
1010	bruschetta	b1
1011	brush	a1
1012	brushstroke	c1
1013	brutal	c1
1014	bubble	a2
1015	bucket	c1
1016	bud	c1
1017	buddhist	c1
1018	buddy	b1
1019	budget	b1
1020	bug	c1
1021	buggy	b2
1022	build	c1
1023	builder	b2
1024	building	c1
1025	bulb	b1
1026	bull	b1
1027	bulldog	b1
1028	bullet	c1
1029	bulleted	c1
1030	bully	a2
1031	bullying	b1
1032	bump	a2
1033	bumpy	b2
1034	bunch	b2
1035	bundle	c1
1036	bunny	b2
1037	bureau	a1
1038	bureaucratic	b2
1039	burger	b1
1040	burglar	b2
1041	burglary	b1
1042	burn	b1
1043	burning	b2
1044	burnt	b1
1045	burrito	b1
1046	burrow	c1
1047	burst	c1
1048	bury	c1
1049	bus	a2
1050	bush	b2
1051	busily	b2
1052	business	b2
1053	businesslike	b2
1054	businessman	c1
1055	businesspeople	b2
1056	businesswoman	c1
1057	busking	c1
1058	bust	a2
1059	bustling	c1
1060	busy	a2
1061	but	a2
1062	butler	c1
1063	butter	b2
1064	butterfly	a1
1065	button	c1
1066	buy	b1
1067	buycott	c1
1068	buyer	b1
1069	buzz	b1
1070	by	c1
1071	bye	a1
1072	byline	b1
1073	bypass	c1
1074	c'mon	b1
1075	cab	a1
1076	cabaret	b2
1077	cabin	b2
1078	cable	a1
1079	cactus	a2
1080	cafe	a2
1081	cafeteria	a1
1082	caffeine	c1
1083	café	a1
1084	cage	a2
1085	caged	b2
1086	cake	a1
1087	calculate	c1
1088	calculation	c1
1089	calculator	b1
1090	calculus	b1
1091	calendar	b2
1092	californian	b2
1093	call	b2
1094	caller	b1
1095	calling	b2
1096	callously	c1
1097	calm	b1
1098	calming	b1
1099	calmly	b2
1100	calmness	c1
1101	calorie	b1
1102	calve	c1
1103	cam	b1
1104	cambodian	b1
1105	camel	c1
1106	camera	b1
1107	camp	b1
1108	campaign	b2
1109	campaigning	b2
1110	camper	b1
1111	campfire	c1
1112	camping	b1
1113	campsite	b1
1114	campus	b1
1115	can	c1
1116	can't	c1
1117	canadian	b1
1118	canal	b1
1119	cancel	b2
1120	cancellation	b2
1121	candidacy	c1
1122	candidate	b2
1123	candle	a1
1124	candleholder	b2
1125	candlelight	c1
1126	candlestick	c1
1127	candy	a1
1128	cannon	c1
1129	cannonball	c1
1130	canoe	b1
1131	canoeing	a2
1132	canopy	b2
1133	canteen	a2
1134	canter	c1
1135	cantonese	a2
1136	canvas	c1
1137	cap	c1
1138	capability	c1
1139	capable	b2
1140	capacity	c1
1141	cape	b2
1142	capital	b1
1143	capitalism	c1
1144	capitalist	c1
1145	cappuccino	a1
1146	capsule	c1
1147	captain	a2
1148	caption	c1
1149	captive	b1
1150	capture	c1
1151	car	a2
1152	caramel	b2
1153	caravan	a2
1154	carbohydrate	a2
1155	carbon	c1
1156	carbuncle	a1
1157	card	b1
1158	care	c1
1159	career	b2
1160	carefree	c1
1161	careful	a2
1162	carefully	a2
1163	caregiver	c1
1164	careless	b2
1165	carelessly	b2
1166	cargo	b2
1167	caribbean	a1
1168	caring	c1
1169	carload	c1
1170	carnival	c1
1171	carpenter	c1
1172	carpet	a1
1173	carriage	a1
1174	carrier	c1
1175	carrot	a2
1176	carry	c1
1177	cart	b2
1178	carton	b1
1179	cartoony	c1
1180	carve	b1
1181	case	b2
1182	cash	b1
1183	cashier	b2
1184	cashless	b2
1185	cashpoint	b1
1186	casino	a2
1187	cassette	a2
1188	cast	a2
1189	castle	a2
1190	castor	b1
1191	casual	a1
1192	casually	c1
1193	cat	a2
1194	catalog	c1
1195	catalogue	b2
1196	cataract	b2
1197	catastrophe	c1
1198	catastrophic	c1
1199	catch	c1
1200	catching	c1
1201	categorisation	c1
1202	categorize	c1
1203	category	b1
1204	cater	b1
1205	cathedral	a2
1206	catholic	c1
1207	catlike	b2
1208	cattle	a2
1209	caught	c1
1210	cause	c1
1211	caution	c1
1212	cautious	b2
1213	cautiously	b2
1214	cave	b1
1215	ccd	b2
1216	cd	b1
1217	ce	b2
1218	cease	c1
1219	cede	c1
1220	ceiling	c1
1221	celeb	c1
1222	celebrate	b1
1223	celebrated	c1
1224	celebration	c1
1225	celebrity	b2
1226	cell	a2
1227	cellar	a2
1228	celtic	b2
1229	cement	c1
1230	cemetery	c1
1231	cent	a2
1232	centaur	b1
1233	center	c1
1234	centimetre	a2
1235	central	c1
1236	centralised	c1
1237	centralization	c1
1238	centre	c1
1239	century	c1
1240	ceo	c1
1241	ceramics	c1
1242	cereal	b2
1243	ceremonial	b2
1244	ceremony	c1
1245	certain	c1
1246	certainly	b2
1247	certainty	c1
1248	certificate	b2
1249	certify	b2
1250	chacacterful	b1
1251	chain	b2
1252	chair	a2
1253	chairman	c1
1254	chalet	a2
1255	chalk	b1
1256	challenge	b1
1257	challenger	b1
1258	challenging	b2
1259	chamber	c1
1260	champagne	b2
1261	champion	a1
1262	chance	b2
1263	chancery	b1
1264	chandelier	a2
1265	change	b1
1266	changing	c1
1267	channel	c1
1268	chaos	c1
